epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48167.7,0.61345,0.33563,0.9498,0.78177,0.77485,0.67627,0.50774,1.17594,0.77914,1.71318,0.000742625,0.000742625,0.000742625
43,49123.6,0.60812,0.32956,0.95046,0.78179,0.78028,0.68368,0.52449,1.19257,0.70577,1.77059,0.00073025,0.00073025,0.00073025
44,50077.6,0.60913,0.33022,0.95375,0.78142,0.77677,0.71637,0.54001,1.20591,0.70706,1.76686,0.000717875,0.000717875,0.000717875
45,51034.8,0.61078,0.32786,0.94501,0.78437,0.78421,0.6811,0.51274,1.17601,0.68449,1.73256,0.0007055,0.0007055,0.0007055
46,51986.2,0.61388,0.33458,0.94607,0.78488,0.7824,0.68487,0.52035,1.19019,0.70096,1.76354,0.000693125,0.000693125,0.000693125
47,52939.8,0.60143,0.32921,0.94787,0.78599,0.7862,0.7126,0.54146,1.17394,0.73703,1.74978,0.00068075,0.00068075,0.00068075
48,53900.3,0.60105,0.32111,0.94214,0.77392,0.77987,0.68431,0.52529,1.15516,0.78882,1.72109,0.000668375,0.000668375,0.000668375
49,54859.1,0.6023,0.32319,0.95043,0.77906,0.78291,0.70398,0.52667,1.18292,0.75797,1.79342,0.000656,0.000656,0.000656
50,55810.8,0.59068,0.31552,0.94428,0.78227,0.78028,0.67607,0.51341,1.17386,0.7297,1.74803,0.000643625,0.000643625,0.000643625
51,56781.2,0.60239,0.32629,0.94674,0.78311,0.78325,0.71938,0.53743,1.17351,0.73105,1.76049,0.00063125,0.00063125,0.00063125
52,57745,0.59651,0.31454,0.94374,0.78192,0.78126,0.6683,0.50428,1.17782,0.71283,1.76904,0.000618875,0.000618875,0.000618875
53,58702.4,0.58588,0.31024,0.94493,0.78218,0.77929,0.68715,0.52602,1.1761,0.70935,1.75294,0.0006065,0.0006065,0.0006065
54,59665.2,0.59124,0.31025,0.93858,0.78592,0.78227,0.69046,0.5266,1.13839,0.71725,1.71429,0.000594125,0.000594125,0.000594125
55,60621.5,0.58307,0.31187,0.93551,0.77987,0.7803,0.7116,0.54119,1.15854,0.70752,1.75059,0.00058175,0.00058175,0.00058175
56,61573.9,0.57892,0.30581,0.93094,0.78701,0.77931,0.7193,0.54471,1.14256,0.7278,1.73023,0.000569375,0.000569375,0.000569375
57,62536.6,0.57818,0.30592,0.93343,0.78499,0.78094,0.72189,0.54893,1.18069,0.69958,1.7929,0.000557,0.000557,0.000557
58,63485.3,0.5786,0.30488,0.9389,0.78614,0.78227,0.71366,0.54255,1.17385,0.72534,1.78505,0.000544625,0.000544625,0.000544625
59,64442.6,0.58036,0.29794,0.93402,0.78859,0.78817,0.74184,0.55519,1.17082,0.66869,1.80038,0.00053225,0.00053225,0.00053225
60,65403.9,0.57241,0.30156,0.93533,0.78431,0.78325,0.68618,0.52008,1.17017,0.70827,1.77406,0.000519875,0.000519875,0.000519875
61,66353.3,0.57689,0.29883,0.9332,0.78442,0.78128,0.72105,0.54667,1.1489,0.68273,1.71938,0.0005075,0.0005075,0.0005075
62,67307.5,0.56414,0.2956,0.92306,0.78959,0.78695,0.67101,0.51039,1.15819,0.70892,1.74242,0.000495125,0.000495125,0.000495125
63,68262.2,0.57199,0.29869,0.93357,0.79174,0.78916,0.70152,0.52825,1.18058,0.72767,1.74348,0.00048275,0.00048275,0.00048275
64,69257.2,0.56808,0.29322,0.93148,0.7854,0.78028,0.69699,0.53405,1.17553,0.70097,1.76007,0.000470375,0.000470375,0.000470375
65,70249.5,0.55865,0.28828,0.92981,0.7842,0.78325,0.72608,0.54536,1.19419,0.6785,1.81525,0.000458,0.000458,0.000458
66,71250.5,0.56351,0.28795,0.92974,0.78381,0.78227,0.70128,0.52877,1.15628,0.67228,1.74472,0.000445625,0.000445625,0.000445625
67,72239.7,0.56194,0.2862,0.92498,0.7849,0.78421,0.73229,0.54996,1.18168,0.68137,1.7699,0.00043325,0.00043325,0.00043325
68,73208.2,0.55066,0.2799,0.92006,0.78415,0.78323,0.6784,0.50878,1.18283,0.71822,1.75478,0.000420875,0.000420875,0.000420875
69,74159.2,0.55815,0.28387,0.92506,0.78736,0.7862,0.72668,0.55009,1.17167,0.70876,1.74057,0.0004085,0.0004085,0.0004085
70,75113.9,0.55934,0.29075,0.92423,0.78579,0.78522,0.71741,0.54188,1.17941,0.7364,1.77216,0.000396125,0.000396125,0.000396125
71,76082.3,0.55199,0.28009,0.91743,0.78485,0.78182,0.70415,0.54363,1.19642,0.73037,1.82509,0.00038375,0.00038375,0.00038375
72,77041.8,0.55297,0.27712,0.92341,0.78372,0.78224,0.71786,0.54996,1.16598,0.70322,1.78861,0.000371375,0.000371375,0.000371375
73,78041.4,0.5452,0.27387,0.92111,0.78143,0.77831,0.69342,0.53245,1.19338,0.74026,1.81984,0.000359,0.000359,0.000359
74,79007.5,0.53893,0.27303,0.92135,0.77976,0.78128,0.70482,0.53471,1.18737,0.68048,1.80916,0.000346625,0.000346625,0.000346625
75,79975.4,0.54098,0.27225,0.91842,0.78772,0.78421,0.73892,0.56172,1.16781,0.6786,1.77561,0.00033425,0.00033425,0.00033425
76,80942.2,0.54798,0.27195,0.91994,0.78946,0.78916,0.71654,0.5434,1.16115,0.72491,1.75891,0.000321875,0.000321875,0.000321875
77,81906,0.53892,0.27188,0.91402,0.78471,0.7852,0.72667,0.54704,1.17919,0.71151,1.75527,0.0003095,0.0003095,0.0003095
78,82871.6,0.54068,0.2725,0.91759,0.77993,0.77735,0.72308,0.54679,1.20919,0.71804,1.82175,0.000297125,0.000297125,0.000297125
79,83830.3,0.53613,0.26503,0.91547,0.78472,0.78099,0.71183,0.53948,1.20197,0.71889,1.808,0.00028475,0.00028475,0.00028475
80,84795.7,0.53855,0.26966,0.92012,0.78664,0.78224,0.71525,0.54314,1.18718,0.7203,1.81257,0.000272375,0.000272375,0.000272375
81,85755.9,0.52893,0.26325,0.91714,0.78608,0.78604,0.72596,0.55074,1.17819,0.7174,1.79335,0.00026,0.00026,0.00026
82,86728.6,0.5304,0.26454,0.9102,0.7871,0.7862,0.70381,0.53229,1.18279,0.73448,1.78682,0.000247625,0.000247625,0.000247625
83,87693.2,0.52251,0.26181,0.91362,0.78452,0.78282,0.67511,0.51,1.18786,0.69883,1.82855,0.00023525,0.00023525,0.00023525
84,88665.8,0.5225,0.25657,0.90874,0.782,0.78126,0.70514,0.53633,1.18328,0.71555,1.82431,0.000222875,0.000222875,0.000222875
